event_id	loci	Proximal_Site	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-A7-A0DC-01A-11R-A00Z-07	TCGA-A7-A0DC-01B-04R-A22O-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-A7-A0DB-01A-11R-A277-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A0DB-01C-02R-A277-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13E-01A-11R-A277-07	TCGA-A7-A13E-01B-06R-A277-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-GI-A2C8-01A-11R-A16F-07
NM_019042|PUS7|chr7|-	chr7:105096954-105098373	105098179	0.76	0.73	0.83	0.78	0.63	0.87	0.57	0.82	0.79	0.75	0.90	0.89	0.71	0.78	0.74	0.74	0.82	0.82	0.78	0.88	0.66	0.71	0.82	0.63	0.87	0.92	0.71	0.71	0.12	0.73	0.57	0.71	0.93	NA	0.83	0.87	0.64	0.84	0.82	0.62	0.76	0.77	0.59	0.78	0.85	0.86	NA	0.53	0.72	NA	0.82	NA	NA	0.75	0.76	0.70	0.66	0.67	NA	0.75	0.76	0.72	0.71	0.75	0.85	0.77	0.70	0.79	0.82	0.83	0.66	0.76	0.76	0.83	0.80	0.82	0.73	0.80	0.60	0.65	0.71	0.69	0.77	0.57	NA	0.79	0.56	0.95	0.91	NA	0.85	0.83	0.69	0.73	0.87	0.77	NA	0.88	0.75	0.86	0.81	0.89	0.75	0.68	NA
NM_003941|WASL|chr7|-	chr7:123321769-123324634	123323850	0.96	0.95	0.93	0.99	0.97	0.99	0.93	0.94	0.95	0.98	1.00	0.96	0.97	0.98	0.99	1.00	0.99	0.92	0.98	1.00	0.98	0.96	0.98	1.00	0.99	0.99	0.94	0.98	NA	0.98	0.99	0.99	0.99	1.00	0.99	0.99	0.98	0.96	0.96	0.94	0.99	0.97	0.91	0.97	0.96	0.98	NA	0.98	1.00	0.97	1.00	NA	0.94	0.93	0.93	0.96	0.97	0.95	1.00	0.97	0.95	0.97	0.97	0.97	0.99	0.98	0.91	0.99	1.00	1.00	1.00	0.93	0.99	1.00	1.00	0.98	0.99	1.00	0.98	0.97	0.98	0.98	0.96	0.99	0.98	0.94	1.00	0.99	1.00	0.96	0.99	0.97	0.99	0.93	0.98	1.00	0.97	0.96	0.94	NA	0.97	0.95	0.95	0.96	0.97
NR_024412|LOC401397|chr7|-	chr7:112756779-112757662	112757347	0.63	0.75	0.91	0.96	0.79	0.79	0.62	0.88	0.92	0.74	0.98	0.86	0.68	0.87	0.87	0.80	0.94	0.77	0.85	0.96	0.67	0.78	0.77	0.74	0.84	0.96	0.73	0.75	NA	0.75	0.79	0.74	0.85	0.90	0.89	0.85	0.78	0.84	0.95	0.81	0.82	0.80	0.78	0.81	0.83	0.78	0.72	0.74	0.97	NA	0.93	NA	0.71	0.78	0.69	0.77	0.68	0.78	1.00	0.87	0.75	0.88	0.78	0.89	0.79	0.76	0.83	0.90	0.94	0.85	0.92	0.90	0.94	0.84	0.87	0.85	0.85	0.96	0.93	0.81	0.84	0.71	0.86	0.83	NA	0.78	0.99	0.92	0.85	0.57	0.87	0.70	0.84	0.80	0.88	0.87	0.79	0.63	0.75	0.99	0.84	0.95	0.91	0.83	0.78
NM_001009958|ZNF655|chr7|+	chr7:99161485-99166372	99162218	0.11	0.13	0.12	0.06	NA	0.04	0.08	NA	NA	0.05	0.04	0.05	0.04	0.03	0.06	0.03	0.05	0.20	0.03	0.03	0.03	0.07	0.03	0.06	0.09	0.09	0.04	0.17	NA	0.10	0.03	0.04	0.03	0.10	NA	0.05	0.13	NA	0.19	0.09	0.02	NA	0.05	0.08	NA	0.03	0.03	NA	0.11	0.63	0.05	NA	NA	0.16	0.05	NA	0.10	0.04	0.02	0.03	0.05	NA	0.07	0.07	0.14	0.09	0.14	0.04	0.06	0.03	0.05	0.25	0.11	0.03	0.04	0.04	0.06	NA	0.08	0.14	0.10	NA	0.05	NA	NA	NA	NA	0.09	0.05	0.07	NA	0.05	NA	0.12	0.08	0.09	NA	0.22	0.15	0.04	0.04	0.06	0.08	0.19	0.07
NM_198467|RSBN1L|chr7|+	chr7:77407846-77412346	77408742	0.34	0.43	0.36	0.48	0.37	0.28	0.34	0.36	0.25	0.28	0.36	0.34	0.37	0.29	0.29	0.32	0.37	0.34	0.34	0.30	0.30	0.30	0.34	0.47	0.33	0.37	0.42	0.44	NA	0.40	0.25	0.25	0.31	0.37	0.18	0.40	0.37	0.49	0.36	0.39	0.26	0.31	0.35	0.44	0.49	0.24	0.23	0.27	0.24	NA	0.49	NA	0.27	0.42	0.38	0.59	0.35	0.30	0.32	0.26	0.48	0.38	0.30	0.29	0.28	0.24	0.41	0.30	0.26	0.25	0.33	0.38	0.31	0.28	NA	0.36	0.35	0.36	0.27	0.34	0.34	0.37	0.51	0.32	NA	0.25	0.32	0.38	0.38	0.31	0.27	0.51	0.45	0.45	0.34	0.37	0.28	0.38	0.47	0.27	0.29	0.52	0.35	0.39	0.44
NM_004546|NDUFB2|chr7|+	chr7:140406362-140407260	140406512	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	NA	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_013284|POLM|chr7|-	chr7:44111330-44112976	44111888	0.14	0.13	0.18	0.20	0.16	0.10	0.22	0.15	0.11	0.11	0.10	0.18	0.16	0.06	0.20	0.15	0.15	0.17	0.25	0.21	0.13	0.11	0.20	0.19	0.17	0.16	0.07	0.22	NA	0.20	0.12	0.09	0.12	0.15	0.20	0.08	0.13	NA	0.16	0.18	0.07	0.19	0.20	0.20	0.13	0.16	0.09	NA	0.12	NA	0.39	0.89	0.13	0.13	0.13	0.10	0.19	NA	0.30	0.08	0.25	0.20	0.11	0.24	0.09	0.14	0.28	0.16	0.20	0.14	0.10	0.22	0.24	0.19	0.30	0.09	0.16	NA	0.30	0.13	0.16	0.14	0.14	NA	NA	0.08	0.12	0.25	0.10	0.21	0.15	0.13	0.19	0.27	0.23	0.17	0.12	0.18	0.15	NA	0.22	0.19	0.19	0.16	0.12
NM_032016|STARD3NL|chr7|+	chr7:38269523-38270261	38269847	0.46	0.56	0.58	0.84	0.57	0.76	0.24	0.41	0.75	0.51	0.82	0.75	0.44	0.69	0.82	0.59	0.76	0.66	0.69	0.66	0.33	0.54	0.61	0.37	0.64	0.78	0.72	0.60	NA	0.70	0.52	0.75	0.70	0.74	0.62	0.81	0.64	0.67	0.79	0.65	0.49	0.60	0.57	0.59	0.68	0.59	0.58	0.63	0.90	NA	0.79	0.10	0.59	0.69	0.56	0.65	0.69	0.62	0.92	0.63	0.55	0.60	0.63	0.63	0.65	0.54	0.63	0.98	0.78	0.76	0.89	0.86	0.80	0.53	0.54	0.60	0.53	0.73	0.60	0.35	0.82	0.62	0.64	0.55	NA	0.57	1.00	0.83	0.69	0.54	0.66	0.60	0.70	0.62	0.61	0.78	0.48	0.72	0.55	0.84	0.59	0.74	0.67	0.72	0.78
NM_020186|ACN9|chr7|+	chr7:96810323-96811071	96810573	NA	0.57	0.45	0.68	0.22	NA	0.28	0.51	0.62	NA	0.34	0.54	0.24	0.44	0.55	0.51	0.73	0.46	0.43	0.63	0.18	NA	0.29	NA	0.32	0.58	NA	0.19	NA	0.62	NA	0.58	0.37	0.58	0.24	0.64	0.52	0.36	0.64	0.56	0.28	0.46	0.48	0.43	NA	0.31	0.31	0.91	0.73	NA	0.79	NA	0.55	NA	0.48	0.59	0.50	0.50	0.50	0.43	NA	0.44	NA	0.40	NA	0.23	0.51	NA	0.65	0.63	0.70	0.69	0.82	0.31	0.24	0.52	0.46	0.35	0.57	0.25	0.64	NA	NA	0.49	NA	0.47	0.65	0.72	0.77	0.31	0.38	NA	0.48	0.57	0.79	0.55	0.28	0.21	0.48	0.52	0.27	NA	0.65	0.67	0.51
NM_007342|NUPL2|chr7|+	chr7:23239786-23240623	23240256	0.68	0.82	0.81	0.94	0.76	NA	0.70	0.77	NA	0.79	0.92	0.85	0.69	0.82	0.81	0.83	0.97	0.81	0.88	0.99	0.78	NA	0.70	0.71	0.75	0.95	0.89	0.78	NA	0.83	NA	0.91	0.80	0.89	0.85	0.84	0.86	0.81	0.93	0.88	0.85	0.92	0.84	0.81	0.88	0.87	NA	0.95	0.99	NA	0.93	NA	0.82	0.68	0.79	0.82	0.82	0.85	0.93	0.82	0.76	0.85	0.69	0.84	0.75	0.90	0.85	0.94	0.96	0.95	0.99	0.92	0.97	0.83	0.78	0.87	0.84	0.87	0.95	0.70	0.93	NA	0.92	0.89	NA	0.82	0.86	0.92	0.91	0.79	0.88	0.80	0.85	0.78	0.86	NA	0.78	0.72	0.86	0.97	0.81	0.99	0.96	0.90	0.81
NM_005746|NAMPT|chr7|-	chr7:105888738-105891639	105891214	0.27	0.41	0.43	0.43	0.37	0.38	0.48	0.54	0.32	0.35	0.41	0.39	0.31	0.37	0.42	0.40	0.47	0.38	0.38	0.34	0.33	0.27	0.25	0.39	0.26	0.26	0.37	0.46	NA	0.36	0.41	0.32	0.38	0.42	0.25	0.36	0.45	0.26	0.44	0.38	0.31	0.33	0.39	0.43	0.30	0.27	0.35	0.48	0.42	0.50	0.44	NA	0.39	0.38	0.29	0.39	0.33	0.35	0.41	0.28	0.38	0.27	0.27	0.35	0.31	0.38	0.28	0.42	0.34	0.26	0.41	0.45	0.44	0.24	0.30	0.42	0.42	0.45	0.49	0.47	0.42	0.34	0.37	0.36	0.56	0.29	0.35	0.47	0.40	0.34	0.34	0.29	0.45	0.40	0.24	0.33	0.36	0.29	0.37	0.33	0.28	0.50	0.43	0.48	0.35
NM_001009960|ZNF655|chr7|+	chr7:99169867-99174123	99171332	0.89	0.95	0.89	NA	NA	0.96	0.87	NA	NA	0.93	1.00	0.95	0.89	0.98	1.00	NA	NA	0.95	NA	NA	0.95	0.90	0.97	NA	NA	0.97	0.91	0.91	0.49	0.98	NA	0.99	NA	NA	NA	0.96	0.92	0.94	0.97	0.92	NA	NA	0.90	0.99	NA	NA	NA	0.79	1.00	0.84	NA	NA	0.92	0.90	0.92	NA	0.94	0.94	NA	0.99	0.90	NA	0.92	0.85	0.94	0.95	0.85	1.00	NA	NA	0.92	0.84	1.00	NA	NA	1.00	0.99	NA	0.91	0.94	0.97	NA	NA	NA	NA	NA	NA	0.96	1.00	0.96	NA	0.99	0.97	0.98	0.98	NA	NA	0.89	0.93	NA	0.95	0.98	0.88	0.88	0.91
NM_001031617|COX19|chr7|-	chr7:1004502-1009092	1008707	0.36	NA	0.42	0.32	NA	0.27	0.40	0.41	0.30	0.31	0.32	0.31	NA	0.28	NA	0.23	0.36	0.52	NA	0.46	0.36	0.22	0.36	0.30	0.31	0.23	0.32	0.19	NA	NA	0.21	0.33	NA	0.41	0.23	0.43	0.29	NA	0.52	NA	NA	NA	0.40	NA	0.28	0.22	0.19	NA	NA	NA	NA	NA	NA	0.45	0.22	0.23	NA	NA	0.33	0.23	NA	0.30	0.44	0.34	NA	0.26	NA	0.25	0.18	0.34	0.21	0.46	NA	0.29	NA	0.45	NA	NA	0.35	0.49	0.55	0.20	0.24	0.47	NA	0.50	NA	NA	0.41	NA	NA	0.44	NA	0.32	0.26	0.39	NA	NA	0.27	0.42	NA	0.26	0.36	NA	0.18
NM_005614|RHEB|chr7|-	chr7:151163693-151164297	151164033	0.27	0.29	0.35	0.39	0.35	0.33	0.30	0.32	0.36	0.26	0.49	0.33	0.37	0.34	0.39	0.28	0.47	0.35	0.34	0.38	0.35	0.28	0.34	0.38	0.31	0.36	0.30	0.28	0.05	0.28	0.36	0.27	0.40	0.35	0.39	0.35	0.31	0.32	0.39	0.31	0.34	0.31	0.33	0.36	0.30	0.36	0.27	0.37	0.40	NA	0.44	0.11	0.22	0.34	0.28	0.27	0.27	0.33	0.44	0.29	0.29	0.29	0.26	0.36	0.28	0.31	0.34	0.59	0.35	0.36	0.44	0.37	0.41	0.31	0.38	0.28	0.59	0.53	0.36	0.39	0.28	0.37	0.35	0.28	1.00	0.32	0.41	0.41	0.35	0.28	0.36	0.32	0.26	0.38	0.37	0.33	0.35	0.28	0.32	0.62	0.34	0.41	0.31	0.32	0.30
NM_022574|GIGYF1|chr7|-	chr7:100277115-100279394	100279043	0.95	0.98	0.95	0.92	NA	0.99	0.76	0.89	NA	0.95	0.94	0.98	0.94	0.96	0.97	0.98	0.86	0.93	0.98	0.98	0.92	0.97	NA	0.79	0.99	0.92	0.91	0.96	NA	1.00	NA	0.92	0.98	0.94	0.98	0.98	0.97	0.98	0.98	0.99	0.94	0.92	0.97	0.97	0.93	0.95	NA	NA	0.98	NA	NA	NA	1.00	1.00	0.99	NA	0.98	NA	0.99	0.94	NA	0.95	0.92	0.93	0.93	0.96	0.96	0.85	0.98	0.95	1.00	0.94	0.99	0.89	NA	0.95	0.91	NA	0.97	0.79	0.98	0.91	0.91	0.96	NA	0.92	NA	0.89	0.94	0.95	0.97	0.99	0.98	0.99	0.85	0.98	NA	1.00	0.96	1.00	0.94	0.98	0.92	0.92	0.96
NM_173517|VKORC1L1|chr7|+	chr7:65419060-65424557	65419639	0.69	0.78	0.69	0.56	0.58	0.67	0.73	0.58	0.37	0.43	0.48	0.61	0.67	0.58	0.75	0.66	0.71	0.62	0.57	0.35	0.61	0.55	0.63	0.58	0.69	0.52	0.71	0.91	NA	0.86	0.53	0.80	0.64	0.69	0.53	0.74	0.82	0.70	0.66	0.76	0.66	0.56	0.49	0.88	0.61	0.54	0.58	0.94	0.72	0.69	0.62	0.64	0.77	0.73	0.44	0.84	0.78	0.63	0.32	0.46	0.78	0.61	0.72	0.80	0.63	0.74	0.36	0.52	0.34	0.45	0.46	0.85	0.76	0.67	0.62	0.70	0.64	0.60	0.79	0.74	0.72	0.76	0.65	0.84	0.45	0.49	0.84	0.67	0.60	0.52	0.57	0.82	0.90	0.70	0.53	0.73	0.74	0.81	0.70	0.31	0.64	0.81	0.74	0.76	0.78
NM_004911|PDIA4|chr7|-	chr7:148700166-148701301	148700677	0.19	0.20	0.25	0.26	0.17	0.24	0.11	0.20	0.33	0.15	0.32	0.23	0.17	0.21	0.22	0.24	0.26	0.17	0.17	0.33	0.15	0.17	0.26	0.16	0.24	0.29	0.23	0.17	0.09	0.20	0.19	0.20	0.22	0.28	0.31	0.21	0.18	0.21	0.34	0.24	0.20	0.17	0.19	0.18	0.17	0.24	0.24	0.19	0.33	0.59	0.60	0.06	0.21	0.19	0.18	0.23	0.17	0.23	0.38	0.23	0.28	0.16	0.13	0.23	0.24	0.16	0.16	0.35	0.29	0.22	0.24	0.24	0.34	0.20	0.22	0.21	0.18	0.38	0.20	0.16	0.21	0.18	0.23	0.14	NA	0.16	0.27	0.30	0.26	0.19	0.27	0.20	0.15	0.20	0.26	0.19	0.18	0.18	0.19	0.42	0.20	0.26	0.24	0.22	0.20
NM_198098|AQP1|chr7|+	chr7:30963064-30965946	30965056	NA	0.05	0.05	0.07	0.09	0.07	0.03	0.07	0.05	0.04	0.16	0.08	0.03	0.05	0.06	0.04	0.05	0.07	0.07	0.09	0.06	0.07	0.08	0.05	0.10	0.10	0.05	0.06	NA	0.06	0.06	0.07	0.09	0.05	0.06	0.06	0.07	0.05	0.06	0.07	0.08	0.05	0.04	0.05	0.08	0.12	0.04	0.03	0.06	NA	0.16	NA	0.03	0.04	0.06	0.07	0.05	0.08	0.11	0.06	0.15	0.04	0.05	0.07	0.10	0.04	0.07	0.04	0.08	0.06	0.05	0.07	0.11	NA	0.06	0.04	0.08	NA	0.06	0.04	0.04	0.08	0.05	0.05	NA	0.07	0.09	0.13	0.05	0.07	0.06	0.07	0.06	0.04	NA	0.06	0.06	0.04	0.04	0.18	0.06	0.08	0.04	0.06	0.05
NM_003439|ZKSCAN1|chr7|+	chr7:99630927-99639375	99631171	0.68	0.77	0.71	0.74	NA	0.76	0.61	0.72	0.59	0.78	0.66	0.66	0.69	0.81	0.92	0.80	0.77	0.70	0.96	0.73	0.83	0.66	0.68	0.60	0.80	0.79	0.75	0.93	1.00	0.84	0.64	0.92	1.00	0.79	0.95	0.93	0.81	0.73	0.75	0.76	0.96	0.84	0.67	0.78	0.74	0.80	NA	0.60	0.87	1.00	1.00	0.79	0.73	0.77	0.77	0.80	0.85	0.84	NA	0.84	1.00	0.68	0.84	0.86	0.99	0.77	0.67	0.79	NA	0.77	0.81	0.89	0.84	0.86	NA	0.77	0.81	NA	0.79	0.75	0.99	0.76	0.86	0.57	NA	0.69	0.50	0.87	0.73	1.00	NA	0.66	0.92	0.76	1.00	0.76	0.93	0.79	0.73	NA	0.80	1.00	0.70	0.85	0.74
NM_000305|PON2|chr7|-	chr7:95034075-95034800	95034434	0.57	0.62	0.65	0.57	0.66	0.62	0.45	0.45	0.60	0.62	0.94	0.72	0.45	0.59	0.76	0.63	0.74	0.55	0.55	0.71	0.57	0.58	0.62	0.40	0.67	0.72	0.53	0.61	NA	0.59	0.47	0.62	0.58	0.68	0.66	0.60	0.57	0.66	0.57	0.55	0.69	0.57	0.52	0.60	0.58	0.57	0.67	0.48	0.74	1.00	0.60	0.08	0.60	0.61	0.56	0.60	0.58	0.51	0.78	0.65	0.63	0.64	0.58	0.59	0.64	0.59	0.53	0.65	0.76	0.67	0.61	0.59	0.82	0.65	0.68	0.56	0.36	0.84	0.54	0.35	0.56	0.61	0.51	0.52	1.00	0.54	0.70	0.62	0.59	0.57	0.68	0.62	0.63	0.47	0.68	0.61	0.52	0.57	0.47	0.96	0.61	0.50	0.64	0.64	0.61
NM_017812|CHCHD3|chr7|-	chr7:132469630-132470421	132470199	0.58	0.67	0.67	0.82	0.72	0.77	0.61	0.66	0.67	0.74	0.74	0.69	0.67	0.68	0.89	0.78	0.86	0.73	0.63	0.80	0.64	0.66	0.73	0.60	0.77	0.74	0.69	0.67	0.56	0.76	0.72	0.75	0.68	0.78	0.79	0.65	0.65	0.79	0.77	0.75	0.74	0.69	0.68	0.72	0.75	0.75	0.74	0.65	0.87	NA	0.41	0.65	0.67	0.66	0.68	0.70	0.69	0.62	0.90	0.79	0.62	0.71	0.72	0.59	0.69	0.69	0.72	0.67	0.77	0.79	0.73	0.71	0.97	0.70	0.73	0.76	0.58	0.70	0.70	0.54	0.65	0.72	0.73	0.67	NA	0.77	0.74	0.75	0.75	0.70	0.81	0.72	0.70	0.74	0.78	0.80	0.73	0.77	0.68	0.98	0.67	0.73	0.71	0.64	0.76
NM_000089|COL1A2|chr7|+	chr7:94059558-94060522	94059932	0.66	0.68	0.61	0.58	0.58	0.60	0.38	0.59	0.70	0.71	0.64	0.62	0.48	0.55	0.70	0.60	0.73	0.70	0.66	0.63	0.52	0.66	0.51	0.37	0.65	0.67	0.59	0.61	0.20	0.57	0.49	0.65	0.58	0.60	0.60	0.66	0.71	0.66	0.66	0.52	0.58	0.57	0.59	0.48	0.64	0.71	0.66	0.59	0.69	0.87	0.67	0.17	0.70	0.61	0.64	0.63	0.65	0.66	0.70	0.68	0.67	0.58	0.57	0.64	0.69	0.64	0.69	0.63	0.60	0.66	0.74	0.65	0.70	0.64	0.53	0.54	0.36	0.55	0.73	0.36	0.65	0.65	0.56	0.62	0.94	0.66	0.69	0.70	0.61	0.63	0.66	0.63	0.67	0.59	0.71	0.64	0.54	0.65	0.60	0.50	0.55	0.66	0.66	0.62	0.60
NM_014671|UBE3C|chr7|+	chr7:157060278-157062063	157060724	0.93	0.91	0.91	0.99	1.00	0.97	0.82	0.95	0.87	0.95	1.00	0.96	0.94	0.89	0.93	1.00	0.95	0.89	0.96	1.00	0.96	0.87	0.99	0.91	1.00	0.99	0.92	0.97	0.62	0.93	0.86	0.95	0.96	0.96	1.00	0.93	0.85	0.93	0.91	0.95	0.99	0.91	0.86	0.94	0.98	0.98	0.99	0.76	0.97	NA	0.62	0.74	0.89	0.88	0.88	0.93	0.91	0.83	1.00	0.96	0.80	0.91	0.97	0.93	0.92	0.95	0.87	0.91	1.00	0.92	0.99	0.91	0.94	0.94	0.98	0.99	0.72	0.99	0.94	0.82	0.95	0.91	0.91	0.86	NA	0.92	0.95	0.98	0.95	0.94	0.98	0.96	0.96	0.92	0.92	1.00	0.97	0.96	0.89	1.00	0.94	0.80	0.94	0.91	0.97
NM_001131009|PTPN12|chr7|+	chr7:77268535-77269401	77268688	0.30	0.43	0.47	0.68	0.37	0.65	0.12	0.47	0.68	0.46	0.66	0.64	0.23	0.49	0.70	0.62	0.87	0.46	0.56	0.70	0.19	0.45	0.40	0.16	0.47	0.62	0.47	0.29	0.09	0.54	0.18	0.61	0.52	0.76	0.38	0.56	0.50	0.47	0.72	0.57	0.38	0.46	0.58	0.48	0.63	0.47	0.44	0.65	0.91	0.82	0.75	0.11	0.50	0.36	0.52	0.57	0.53	0.47	0.64	0.58	0.39	0.50	0.32	0.41	0.45	0.42	0.56	0.89	0.69	0.73	0.80	0.59	0.79	0.45	0.36	0.55	0.32	0.54	0.61	0.16	0.57	0.39	0.63	0.45	1.00	0.59	0.76	0.66	0.61	0.36	0.57	0.45	0.51	0.55	0.69	0.62	0.39	0.39	0.52	0.86	0.43	0.72	0.64	0.58	0.59
NM_001165036|OGDH|chr7|+	chr7:44747477-44748673	44748168	0.90	0.95	0.98	0.85	0.97	0.96	0.87	0.84	0.97	0.94	1.00	1.00	0.88	1.00	1.00	0.99	0.98	0.97	0.94	1.00	0.99	0.95	0.97	1.00	1.00	0.99	0.99	0.93	NA	0.95	0.94	0.97	0.99	1.00	1.00	0.97	0.99	1.00	0.97	0.95	0.98	0.95	0.89	0.97	0.99	1.00	0.99	0.94	1.00	NA	1.00	1.00	0.93	0.93	0.91	0.94	0.88	0.96	1.00	1.00	0.97	0.98	0.97	0.99	0.98	0.98	0.96	0.97	1.00	0.98	0.89	0.98	0.99	0.97	0.99	0.98	0.91	1.00	0.89	0.91	0.96	0.87	0.97	0.82	NA	0.95	0.91	0.98	0.97	0.90	1.00	0.99	0.96	0.95	0.99	0.99	0.85	0.97	0.92	1.00	0.96	0.87	0.95	0.99	0.99
